label,review
0,不要污蔑依晨[抓狂]
0,为什么要拆穿？为什么？！[泪]
0,我骄傲我自豪 //@瑞塔小姐:光荣的上班族[泪]  // @ssjenny :哦也！我是标准上班族[泪] // @MiYABI小雅 :笑死了笑死了！//  @道树  ：又大量中弹了呀……
1,哈哈亲亲去盖楼哈//@天空中孤独的蜗牛:能中奖不//@御庭酒店集团:#汤山御庭#哈哈亲，欢迎入住御庭哦?期待您更多的惊喜分享呢[哈哈][哈哈][太开心][太开心]
1,相当赞！新车感觉如何呀？明天好带我等去张江吃中饭来~~[挤眼] 你又有好多包裹来啊，都是娃娃吗？[哈哈]
0,呵呵 真开心，励志48天减 肥24斤，愿望终于实现了。我用的方法:http://t.cn/zWki99w 很给力的哦~~#天猫出游季#[神马][神马][抱抱][怒骂][心][挤眼]5[心][给力]6[哈哈][挤眼][给力][哈哈][哈哈][哈哈][抱抱]u867uy7[最差][扔鸡蛋]
1,多谢瓷支持！祝福新年新气象哦！吃羊肉再暖和不过了！[嘻嘻]
0,[鄙视] //@摄影家谢墨:有个别沙龙友为了追求奖项，不断突破人类的道德良心之底线 //@防微杜谏:@摄影家谢墨 老师，您给分析一下 //@记者刘向南: [吃惊][汗][泪] //@王利芬:[泪]//@李开复: 这些神奇的照片原来是虐待小动物拍的！[弱]
0,回复@杯包客:冷。。。十一二度，衣服完全带错[晕][泪] //@杯包客:貌似天气不怎么给力啊
0,[吃惊][汗][泪]还能不能活下去了[怒]
1,bingo//@JennieWalker: 好可爱！//@三眼仔迷失弥墩道: 有用又好看，仲要系自己人做的![鼓掌][鼓掌] //@阿肯是但?:原来是mccann创作的[鼓掌] //@小红帽BBQ:dumb ways to die[哈哈]
1,[围观][围观]四川阿坝州2012年暑期旅游优惠政策http://t.cn/zWzWnq2看看你想去的地方优美的优惠的。[嘻嘻]
0,看了些诗词，满眼忧愁[衰]
0,……一股豆豆厨味[泪][泪][泪]
0,//@一句心情签名:你不懂我的选择，也可以不懂我的难过[泪]
0,//@舒可文:势力眼 //@方力钧:？[泪]//@---暗香疏影://@深圳热点:央视是美国的央视[怒]
1,回复@CRYSTAL_AmbRum:么么哒，赶紧让生在四川的那个小家伙来吃，肯定能有家乡的味道[亲亲][亲亲] //@CRYSTAL_AmbRum:回复@麒麟锦庭火锅道:嗨心~绝对还要再去的~~给肉肉跟菌类点赞！好吃到哭[泪]
1,回复@郑新建:哈哈，我家必须火[哈哈]//@郑新建:回复@张栩哲:北京昨天火了一个@红烧肉传奇餐厅 算是暗合，今天这个是真格的，话题营销。@红烧肉传奇-雨亭//@郑新建:你说咋整，搞得我也刹不住车了！@仓吉 @张栩哲 //@朱文策:娱乐至死，[偷笑]。//@陈昌询: [闭嘴][偷笑]//@姚利sz:[话筒]
1,[爱你]小侨祝亲爱的业主，以及所有的朋友们新春快乐[心]
1,早餐开启幸福的一天，一直觉得它对我们非常重要，自己在家做早餐也好，在外面吃早餐也好，都要有一个吃早餐的心态，不要不在乎，不要去应付，当你用心去享受它，会发现它真的可以带给我们愉快的正能量[爱你][爱你][爱你]
1,捉过来亲的人是谁啊？//@河北解放: 呵呵呵呵呵//@国强摄影: 呦呦！@姚晨 @河北解放 @疯狂的-小丁丁 @老少咸了都不宜 @老赵的锦绣航程 @红红的事 @Laurence梁超 @刘博Elden //@北京菜菜猫: 我、我、我还没做好准备呢，被彻底雷了！！！！//@国强摄影: 呦！呦！切克切克闹！！//@米高佐蹲: [哈哈]
0,好想吃！最近要戒辣，戒冷，戒劳累。[泪][泪][泪]
1,猕猴桃一家齐亮相[哈哈]
0,回复@春水堂蔺德刚:坏人啊！[抓狂][抓狂] //@春水堂蔺德刚:赶紧的，围观好久了，哈哈
1,恭喜亲获奖哦！期待您的上海之旅[太开心]
0,需要个你全家！不知道这是胶水粘上去的阿！！乱传播[怒]不爱猫的人才干这种SB事 //@韩国潮流速递:太需要了！！！喵星人太能抓了！！
1,我正在[鼓掌]//@赞巴拉国际青年旅舍:国庆节的天气真给力，能出好片了！
0,第八届西餐文化节百威啤酒节，现场串香扑鼻，酒香四溢，乐队很high，有些中暑的我结束工作，木吃木喝，含泪飘过！[泪][泪]
1,[可爱] //@纽约时尚毛儿：手拿包！！//@时尚COSMOPOLITAN：好看~[心]
0,这么做的人下辈子都给卫华姐做学生！！！！够狠伐~//@青小伊：让我想起了那只当初被我们当宝贝的小龟，可还是最终死了，可他是在衣食无忧的情况下走的呀！相比之下，药袋中的这些小龟真的好可怜啊...[泪] @辞小西@然小罗@纪唯年
0,谢谢好心人！[泪]//@何斌掌柜: 我支持你，哈哈哈
0,我本一心照明月，奈何明月照地沟[哼]//@阿木穆: 能不伤心嘛[泪] 你这个混蛋@我//@董曦阳: @阿木穆 我有点小伤心呀，你呢？//@阿紫的幸福生活: 终于出版了，强力推荐！
0,我真想对星座密语说：“草尼马滚蛋，不过要是那么灵验的话，大凉，我们一起去出家吧！等运转回来了，再一起还俗[抓狂]” //@alva--an:如果不限制发型和穿着 可以考虑 哈哈 //@浩浩只是路人甲：⊙.⊙出家(#?′)凸这尼玛也太坑爹了吧+_+*
1,[鼓掌]//@新浪娱乐: 小罗伯特?唐尼通过微博宣布：电影《钢铁侠3》将于五月三日在中国正式上映！[礼花]
0,回复@netkeeper:米国貌似只有小电器比天朝贵。[哼] //@netkeeper:才五十块RMB呀[泪]
0,[怒]人肉
0,土豪家的年夜饭，从半个拳头大的?开始～接下来是拳头大的鲍鱼，俩手指头粗的对虾，以及半张脸大的螃蟹…上菜容器…见笑了，均为脸盆[晕]
1,此男求女友，要美女哦！[哈哈][哈哈]
1,//@弈之Cancer: 我也发现了第一条。。。所以每次都会注意究竟是特价还是。。。不过话说国内是黄签儿吧[嘻嘻]
0,缅怀晓鹏//@我的含笑玫瑰: 回复@张晓鹏jonathan:可惜你不在，我们都很怀念你！[泪] //@张晓鹏jonathan:到了，爽呀。有机会多喝点@我的含笑玫瑰 @侯牧牧
1,我的早就挂包包上啦[鼓掌]话说直飞后咱们自己再走一遭吧[偷笑]@阮导 @单车旅行的肥猫 叫上太后一起哇@J调de华丽 [爱你]
1,#CBC波士顿咖啡之旅#T恤设计欣赏[嘻嘻]
0,圆满了[馋嘴][抓狂][鼓掌] 我在这里:http://t.cn/zjJhJ0w
